Model,Accuracy,Recall,F1-Score,AUC
EfficientNet-B0,0.8878205128205128,0.8897435897435897,0.9083769633507853,0.9474139820293667
EfficientNet-B3,0.8958333333333334,0.9487179487179487,0.9192546583850931,0.9610124917817225
